Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
75,Exit short,2020-01-23 12:30,Long,3996.5,1,19933.75,-50.75,-0.25,0.25,0.00,-49.75,-0.25,-46.25,0.00
75,Entry short,2020-01-23 11:30,Short,3986.75,1,19933.75,-50.75,-0.25,0.25,0.00,-49.75,-0.25,-46.25,0.00
76,Exit long,2020-01-24 06:00,Short,4014.75,1,19982.5,89.25,0.45,117.75,0.59,-22.25,-0.11,43,0.00
76,Entry long,2020-01-23 12:30,Long,3996.5,1,19982.5,89.25,0.45,117.75,0.59,-22.25,-0.11,43,0.00
77,Exit short,2020-01-24 11:30,Short Exit,3990.5,1,20073.75,119.25,0.59,120.25,0.60,-19.75,-0.10,162.25,0.02
77,Entry short,2020-01-24 06:00,Short,4014.75,1,20073.75,119.25,0.59,120.25,0.60,-19.75,-0.10,162.25,0.02
78,Exit long,2020-01-26 18:00,Long Exit,3956,1,19882.5,-104.5,-0.53,30.25,0.15,-103.5,-0.52,57.75,0.01
78,Entry long,2020-01-24 15:00,Long,3976.5,1,19882.5,-104.5,-0.53,30.25,0.15,-103.5,-0.52,57.75,0.01
79,Exit short,2020-01-27 03:30,Long,3949.5,1,19713.75,-35.75,-0.18,36.5,0.19,-48.5,-0.25,22,0.00
79,Entry short,2020-01-26 18:15,Short,3942.75,1,19713.75,-35.75,-0.18,36.5,0.19,-48.5,-0.25,22,0.00
80,Exit long,2020-01-27 04:15,Short,3941,1,19747.5,-44.5,-0.23,0.25,0.00,-43.5,-0.22,-22.5,0.00
80,Entry long,2020-01-27 03:30,Long,3949.5,1,19747.5,-44.5,-0.23,0.25,0.00,-43.5,-0.22,-22.5,0.00
81,Exit short,2020-01-27 07:15,Long,3932.25,1,19705,41.75,0.21,109,0.55,-3.5,-0.02,19.25,0.00
81,Entry short,2020-01-27 04:15,Short,3941,1,19705,41.75,0.21,109,0.55,-3.5,-0.02,19.25,0.00
82,Exit long,2020-01-27 08:15,Short,3925.75,1,19661.25,-34.5,-0.18,19,0.10,-38.5,-0.20,-15.25,0.00
82,Entry long,2020-01-27 07:15,Long,3932.25,1,19661.25,-34.5,-0.18,19,0.10,-38.5,-0.20,-15.25,0.00
83,Exit short,2020-01-27 09:45,Long,3931.75,1,19628.75,-32,-0.16,46.5,0.24,-36,-0.18,-47.25,0.00
83,Entry short,2020-01-27 08:15,Short,3925.75,1,19628.75,-32,-0.16,46.5,0.24,-36,-0.18,-47.25,0.00
84,Exit long,2020-01-27 11:15,Short,3925.25,1,19658.75,-34.5,-0.18,24,0.12,-46,-0.23,-81.75,-0.01
84,Entry long,2020-01-27 09:45,Long,3931.75,1,19658.75,-34.5,-0.18,24,0.12,-46,-0.23,-81.75,-0.01
85,Exit short,2020-01-27 12:45,Long,3940.25,1,19626.25,-77,-0.39,11.5,0.06,-76,-0.39,-158.75,-0.02
85,Entry short,2020-01-27 11:15,Short,3925.25,1,19626.25,-77,-0.39,11.5,0.06,-76,-0.39,-158.75,-0.02
86,Exit long,2020-01-27 16:00,Short,3924.25,1,19701.25,-82,-0.42,1.5,0.01,-81,-0.41,-240.75,-0.02
86,Entry long,2020-01-27 12:45,Long,3940.25,1,19701.25,-82,-0.42,1.5,0.01,-81,-0.41,-240.75,-0.02
87,Exit short,2020-01-27 20:15,Long,3937,1,19621.25,-65.75,-0.34,16.5,0.08,-64.75,-0.33,-306.5,-0.03
87,Entry short,2020-01-27 16:00,Short,3924.25,1,19621.25,-65.75,-0.34,16.5,0.08,-64.75,-0.33,-306.5,-0.03
88,Exit long,2020-01-28 03:30,Short,3939.25,1,19685,9.25,0.05,47.75,0.24,-43.5,-0.22,-297.25,-0.03
88,Entry long,2020-01-27 20:15,Long,3937,1,19685,9.25,0.05,47.75,0.24,-43.5,-0.22,-297.25,-0.03
89,Exit short,2020-01-28 07:00,Long,3939,1,19696.25,-0.75,0.00,69,0.35,-4.75,-0.02,-298,-0.03
89,Entry short,2020-01-28 03:30,Short,3939.25,1,19696.25,-0.75,0.00,69,0.35,-4.75,-0.02,-298,-0.03
90,Exit long,2020-01-28 16:00,Short,3958.75,1,19695,96.75,0.49,145.25,0.74,-21,-0.11,-201.25,-0.02
90,Entry long,2020-01-28 07:00,Long,3939,1,19695,96.75,0.49,145.25,0.74,-21,-0.11,-201.25,-0.02
