Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
162,Exit short,2024-05-22 16:00,Long,5799.75,1,29038.75,38,0.13,152.75,0.53,-31,-0.11,481,0.05
162,Entry short,2024-05-22 12:00,Short,5807.75,1,29038.75,38,0.13,152.75,0.53,-31,-0.11,481,0.05
163,Exit long,2024-05-23 03:15,Short,5825,1,28998.75,124.25,0.43,165.25,0.57,-136,-0.47,605.25,0.06
163,Entry long,2024-05-22 16:00,Long,5799.75,1,28998.75,124.25,0.43,165.25,0.57,-136,-0.47,605.25,0.06
164,Exit short,2024-05-23 06:45,Long,5827.25,1,29125,-13.25,-0.05,20.25,0.07,-13.5,-0.05,592,0.06
164,Entry short,2024-05-23 03:15,Short,5825,1,29125,-13.25,-0.05,20.25,0.07,-13.5,-0.05,592,0.06
165,Exit long,2024-05-23 09:15,Short,5831,1,29136.25,16.75,0.06,55.25,0.19,-4.75,-0.02,608.75,0.06
165,Entry long,2024-05-23 06:45,Long,5827.25,1,29136.25,16.75,0.06,55.25,0.19,-4.75,-0.02,608.75,0.06
166,Exit short,2024-05-23 09:30,Short Exit,5812.75,1,29155,89.25,0.31,90.25,0.31,-7.25,-0.02,698,0.07
166,Entry short,2024-05-23 09:15,Short,5831,1,29155,89.25,0.31,90.25,0.31,-7.25,-0.02,698,0.07
167,Exit long,2024-05-23 13:00,Short,5792.75,1,29051.25,-89.5,-0.31,4,0.01,-88.5,-0.30,608.5,0.06
167,Entry long,2024-05-23 12:30,Long,5810.25,1,29051.25,-89.5,-0.31,4,0.01,-88.5,-0.30,608.5,0.06
168,Exit short,2024-05-23 22:30,Long,5766,1,28963.75,131.75,0.45,242.75,0.84,-16,-0.06,740.25,0.07
168,Entry short,2024-05-23 13:00,Short,5792.75,1,28963.75,131.75,0.45,242.75,0.84,-16,-0.06,740.25,0.07
169,Exit long,2024-05-24 02:45,Short,5758.75,1,28830,-38.25,-0.13,0.25,0.00,-46,-0.16,702,0.07
169,Entry long,2024-05-23 22:30,Long,5766,1,28830,-38.25,-0.13,0.25,0.00,-46,-0.16,702,0.07
